período,ipc
2016-12,100
2017-1,101.58864758
2017-2,103.68490485
2017-3,106.14659179
2017-4,108.96601787
2017-5,110.53081592
2017-6,111.84802819
2017-7,113.78401874
2017-8,115.38002995
2017-9,117.56873426
2017-10,119.35207689
2017-11,120.99570773
2017-12,124.79439817
2018-1,126.98966348
2018-2,130.05975334
2018-3,133.10302486
2018-4,136.75092971
2018-5,139.59071686
2018-6,144.80450029
2018-7,149.29992303
2018-8,155.1042137
2018-9,165.23668371
2018-10,174.15160128
2018-11,179.64800038
2018-12,184.26020442
2019-1,189.61621663
2019-2,196.75445262
2019-3,205.95887908
2019-4,213.0576725
2019-5,219.5764633
2019-6,225.54655796
2019-7,230.50524513
2019-8,239.62064497
2019-9,253.72513891
2019-10,262.08384595
2019-11,273.23898063
2019-12,283.46567956
2020-1,289.86074759
2020-2,295.70225717
2020-3,305.5812391
2020-4,310.156254
2020-5,314.94192353
2020-6,322.01362286
2020-7,328.25091208
2020-8,337.1117813
2020-9,346.67086934
2020-10,359.71591618
2020-11,371.08734996
2020-12,385.95818862
2021-1,401.61407773
2021-2,415.9683816
2021-3,435.96777339
2021-4,453.75539007
2021-5,468.83190456
2021-6,483.72105683
2021-7,498.21421255
2021-8,510.50609032
2021-9,528.60082665
2021-10,547.17439463
2021-11,561.02753089
2021-12,582.55613969
2022-1,605.13255242
2022-2,633.54618225
2022-3,676.1784322
2022-4,717.05985038
2022-5,753.2917344
2022-6,793.16846554
2022-7,851.91534299
2022-8,911.29532139
2022-9,967.48931058
2022-10,1028.88132773
2022-11,1079.45638459
2022-12,1134.75263753
2023-1,1203.16385861
2023-2,1282.88943692
2023-3,1381.34617087
2023-4,1497.39320562
2023-5,1613.75962302
2023-6,1709.80892216
2023-7,1818.32367158
2023-8,2044.56701502
2023-9,2305.35728964
2023-10,2496.68629507
2023-11,2816.5026189
2023-12,3533.79487628
2024-1,4262.65986983
2024-2,4826.39365042
2024-3,5357.56222644
2024-4,5830.61359031
2024-5,6074.06333171
2024-6,6352.21892322
2024-7,6608.24199587
