período,privado_registrado,publico,total_registrado,privado_no_registrado,total_indice
2015-10,73.97,75.24,74.44,,
2015-11,75.95,76.28,76.07,,
2015-12,77.36,77.18,77.29,,
2016-1,78.93,77.46,78.38,,
2016-2,80.04,78.36,79.42,,
2016-3,80.8,83.8,81.92,,
2016-4,85.92,84.26,85.3,,
2016-5,88.74,87.11,88.13,,
2016-6,90.15,89.28,89.83,,
2016-7,93.35,94.66,93.84,,
2016-8,95.05,98.73,96.42,,
2016-9,96.63,99.46,97.69,,
2016-10,100,100,100,100,100
2016-11,101.8,101.22,101.58,100.73,101.41
2016-12,102.89,102.37,102.69,103.2,102.79
2017-1,106.34,102.68,104.98,102,104.38
2017-2,107.69,103.08,105.97,104.94,105.76
2017-3,109.26,107.24,108.5,110.08,108.82
2017-4,112.93,110.81,112.14,114.61,112.63
2017-5,115.18,112.28,114.09,115.79,114.43
2017-6,117.23,115.3,116.51,116.24,116.45
2017-7,122.8,118.49,121.19,120.74,121.1
2017-8,124.55,121.54,123.43,126.06,123.95
2017-9,126,123.89,125.21,127.7,125.71
2017-10,128.23,126.03,127.4,128.5,127.62
2017-11,130.04,127.32,129.03,131.95,129.61
2017-12,131.01,127.94,129.86,135.71,131.03
2018-1,133.25,128.45,131.46,136.57,132.48
2018-2,134.31,129.32,132.44,138.19,133.59
2018-3,136.23,132.97,135.01,140.7,136.14
2018-4,141.01,135.01,138.77,144,139.81
2018-5,144.47,137.16,141.74,142.73,141.93
2018-6,146.47,138.97,143.67,141.02,143.14
2018-7,149.94,143.01,147.36,145.09,146.9
2018-8,154.2,147.26,151.61,148.81,151.05
2018-9,157.82,152.41,155.8,154.02,155.44
2018-10,163.86,159.53,162.24,156.63,161.12
2018-11,168.06,162.69,166.05,164.93,165.83
2018-12,170.85,166.66,169.29,172.61,169.94
2019-1,176.91,170.98,174.7,177.16,175.19
2019-2,181.76,175.37,179.37,181.72,179.84
2019-3,188.26,184.99,187.04,186.59,186.94
2019-4,193.47,188.65,191.67,188.85,191.11
2019-5,201.66,193.23,198.51,188.44,196.51
2019-6,206.99,197.23,203.34,188.78,200.44
2019-7,215.86,209.52,213.49,195.49,209.9
2019-8,221.87,213.21,218.63,200.52,215.02
2019-9,227.72,220.8,225.13,203.25,220.77
2019-10,236.31,227.45,233,207.5,227.92
2019-11,242.85,231.39,238.57,212.21,233.32
2019-12,246.54,238.13,243.4,223.54,239.44
2020-1,267.6,244.59,259.01,232.76,253.78
2020-2,279.97,251.57,269.36,240.22,263.55
2020-3,286.4,262.08,277.31,248.53,271.58
2020-4,285.74,263.54,277.45,250.23,272.03
2020-5,285.06,264.92,277.54,248.98,271.84
2020-6,285.44,267.19,278.62,252.74,273.47
2020-7,289.19,270.14,282.07,263.49,278.37
2020-8,295.13,272.2,286.56,273.32,283.92
2020-9,301.54,280.93,293.84,279.69,291.02
2020-10,317.66,289.72,307.22,285.74,302.94
2020-11,326.04,294.87,314.4,306.96,312.92
2020-12,331.26,301.97,320.32,310.78,318.42
2021-1,344.61,309.32,331.43,318.42,328.84
2021-2,362.33,321.14,346.94,327.43,343.06
2021-3,376.68,345.37,364.98,341.36,360.28
2021-4,394.54,350.74,378.18,346.34,371.84
2021-5,408.38,360.83,390.62,349.47,382.42
2021-6,415.55,375.32,400.52,353.54,391.16
2021-7,437,397.93,422.41,362.03,410.37
2021-8,451.64,410.82,436.4,371.24,423.41
2021-9,467.91,438.07,456.77,374.34,440.34
2021-10,485.29,454.12,473.64,395.51,458.07
2021-11,507,466.54,491.89,412.7,476.11
2021-12,514.34,479.05,501.16,436.8,488.33
2022-1,538.17,493.03,521.3,447.94,506.68
2022-2,559.01,504.7,538.72,457.61,522.56
2022-3,589.31,565.82,580.53,483.35,561.16
2022-4,622.29,580.87,606.82,517.48,589.01
2022-5,665.66,619.44,648.39,534.17,625.63
2022-6,699.36,647.9,680.14,558.71,655.94
2022-7,737.01,695.34,721.44,575.31,692.32
2022-8,797.04,724.84,770.07,606.44,737.46
2022-9,843.4,780.81,820.02,654.74,787.08
2022-10,888.1,827.5,865.46,675.21,827.54
2022-11,953.34,874.76,923.98,718.67,883.06
2022-12,996.62,955.04,981.09,722.55,929.56
2023-1,1042.37,992.3,1023.66,771.21,973.35
2023-2,1114.31,1030.47,1082.99,825.87,1031.74
2023-3,1202.08,1198.55,1200.76,876.04,1136.04
2023-4,1284.57,1247.39,1270.68,918.51,1200.49
2023-5,1389.24,1353.08,1375.74,947.84,1290.46
2023-6,1468.48,1434.49,1455.78,1018.88,1368.71
2023-7,1626.81,1625.51,1626.33,1090.31,1519.5
2023-8,1762.46,1723.25,1747.82,1183.42,1635.33
2023-9,1995.58,1911.97,1964.34,1271.63,1826.29
2023-10,2169.81,2086.82,2138.81,1334.03,1978.41
2023-11,2385.55,2250.34,2335.04,1445.34,2157.73
2023-12,2648.87,2374.02,2546.2,1555.65,2348.79
2024-1,3178.28,2660.85,2985,1730.47,2734.97
2024-2,3625.42,3062.83,3415.26,1829.42,3099.2
2024-3,3987.49,3400.49,3768.21,2007.72,3417.34
2024-4,4464.6,3656.07,4162.57,2163.76,3764.21
2024-5,4807.34,3957.89,4490.03,2419.24,4077.32
2024-6,5129.04,4113.99,4749.88,2642.13,4329.8
